London,11.49,87.0,991.0,7.72,75.0
New York,6.67,71.0,1006.0,5.36,99.0
Paris,9.87,85.0,1005.0,8.75,100.0
Sydney,19.05,72.0,1021.0,0.89,100.0
Tokyo,7.05,81.0,1009.0,2.06,100.0
Dubai,21.86,73.0,1016.0,1.03,3.0
Moscow,0.53,99.0,997.0,1.05,100.0
London,11.56,86.0,991.0,7.72,75.0
New York,6.67,71.0,1006.0,5.36,99.0
Paris,9.87,85.0,1005.0,8.75,100.0
Sydney,19.19,72.0,1021.0,1.34,100.0
Tokyo,7.03,82.0,1009.0,2.06,100.0
Dubai,22.83,70.0,1016.0,0.51,3.0
Moscow,0.66,99.0,997.0,0.66,100.0
London,11.56,86.0,991.0,7.72,75.0
New York,6.68,70.0,1007.0,6.69,100.0
Paris,9.85,85.0,1005.0,8.75,100.0
Sydney,19.19,72.0,1021.0,1.34,100.0
Tokyo,7.03,82.0,1009.0,2.06,100.0
Dubai,22.83,70.0,1016.0,0.51,3.0
Moscow,0.66,99.0,997.0,0.66,100.0
London,11.6,86.0,990.0,7.72,100.0
New York,6.68,70.0,1007.0,6.69,100.0
Paris,9.85,85.0,1005.0,8.75,100.0
Sydney,19.29,72.0,1020.0,5.66,75.0
Tokyo,6.88,82.0,1009.0,2.06,100.0
Dubai,21.09,78.0,1016.0,2.06,3.0
Moscow,0.66,99.0,997.0,1.05,100.0
London,11.6,86.0,990.0,7.72,100.0
New York,6.67,70.0,1006.0,6.69,100.0
Paris,9.82,85.0,1005.0,6.69,75.0
Sydney,19.29,72.0,1020.0,5.66,75.0
Tokyo,6.88,82.0,1009.0,2.06,100.0
Dubai,21.09,78.0,1016.0,2.06,3.0
Moscow,0.66,99.0,997.0,1.05,100.0
London,11.71,85.0,990.0,7.72,100.0
New York,6.67,70.0,1006.0,6.69,100.0
Paris,9.82,85.0,1005.0,6.69,75.0
Sydney,19.38,71.0,1021.0,4.63,75.0
Tokyo,6.81,81.0,1009.0,4.12,100.0
Moscow,0.62,99.0,997.0,1.05,100.0
Dubai,21.09,78.0,1016.0,2.06,3.0
London,11.71,85.0,990.0,7.72,100.0
New York,6.6,70.0,1007.0,6.69,100.0
Paris,9.84,85.0,1004.0,6.69,75.0
Sydney,19.38,71.0,1021.0,4.63,75.0
Tokyo,6.81,81.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,3.0
Moscow,0.62,99.0,997.0,1.05,100.0
London,11.81,84.0,990.0,7.72,100.0
New York,6.6,70.0,1007.0,6.69,100.0
Paris,9.84,85.0,1004.0,6.69,75.0
Sydney,19.58,71.0,1020.0,4.63,75.0
Tokyo,6.71,80.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,3.0
Moscow,0.66,99.0,997.0,1.05,100.0
London,11.81,84.0,990.0,7.72,100.0
New York,6.49,71.0,1007.0,6.69,100.0
Paris,9.79,85.0,1004.0,6.69,75.0
Sydney,19.58,71.0,1020.0,4.63,75.0
Tokyo,6.71,80.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,3.0
Moscow,0.66,99.0,997.0,1.05,100.0
London,11.84,84.0,989.0,9.26,75.0
New York,6.49,71.0,1007.0,6.69,100.0
Paris,9.79,85.0,1004.0,6.69,75.0
Sydney,19.62,70.0,1020.0,4.63,75.0
Tokyo,6.63,81.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Moscow,0.66,99.0,997.0,1.18,100.0
London,11.84,84.0,989.0,9.26,75.0
New York,6.45,71.0,1007.0,6.69,100.0
Paris,9.73,85.0,1004.0,7.72,100.0
Sydney,19.62,70.0,1020.0,4.63,75.0
Tokyo,6.63,81.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Moscow,0.66,99.0,997.0,1.18,100.0
London,11.89,83.0,989.0,9.26,75.0
New York,6.45,71.0,1007.0,6.69,100.0
Paris,9.73,85.0,1004.0,7.72,100.0
Sydney,19.79,69.0,1021.0,6.17,75.0
Tokyo,6.6,82.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Moscow,0.66,99.0,997.0,1.18,100.0
London,11.89,83.0,989.0,9.26,75.0
New York,6.33,73.0,1007.0,3.13,99.0
Paris,9.66,85.0,1004.0,7.72,100.0
Sydney,19.79,69.0,1021.0,6.17,75.0
Tokyo,6.6,82.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Moscow,0.66,99.0,997.0,1.18,100.0
New York,6.32,72.0,1007.0,5.14,75.0
London,11.89,83.0,989.0,9.26,75.0
Paris,9.66,86.0,1004.0,7.72,100.0
Sydney,19.69,70.0,1021.0,6.17,75.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Tokyo,6.59,82.0,1009.0,4.12,100.0
Moscow,0.66,99.0,997.0,1.18,100.0
London,11.88,82.0,989.0,8.75,75.0
New York,6.32,72.0,1007.0,5.14,75.0
Paris,9.66,86.0,1004.0,7.72,100.0
Sydney,19.69,70.0,1021.0,6.17,75.0
Tokyo,6.64,83.0,1009.0,4.12,100.0
Dubai,21.09,78.0,1016.0,1.54,4.0
Moscow,0.66,99.0,997.0,1.18,100.0
London,11.88,82.0,989.0,8.75,75.0
New York,6.3,72.0,1007.0,5.14,75.0
Sydney,19.73,70.0,1020.0,6.17,75.0
Paris,9.7,86.0,1003.0,7.72,100.0
Tokyo,6.64,83.0,1009.0,4.12,100.0
Moscow,0.59,99.0,997.0,1.18,100.0
Dubai,21.09,78.0,1016.0,1.54,4.0
London,11.67,83.0,988.0,8.75,75.0
New York,6.3,72.0,1007.0,5.14,75.0
Paris,9.7,86.0,1003.0,7.72,100.0
Sydney,19.73,70.0,1020.0,6.17,75.0
Dubai,21.09,78.0,1016.0,1.54,4.0
Tokyo,6.74,84.0,1009.0,3.6,100.0
Moscow,0.59,99.0,997.0,1.18,100.0
London,11.67,83.0,988.0,8.75,75.0
New York,6.28,71.0,1007.0,5.14,75.0
Paris,9.73,85.0,1003.0,7.72,100.0
Sydney,19.74,69.0,1021.0,5.66,75.0
Tokyo,6.74,84.0,1009.0,3.6,100.0
Dubai,21.09,78.0,1016.0,1.54,4.0
Moscow,0.3,99.0,997.0,1.18,100.0
London,11.42,84.0,988.0,8.75,75.0
New York,6.28,71.0,1007.0,5.14,75.0
Paris,9.73,85.0,1003.0,7.72,100.0
Sydney,19.74,69.0,1021.0,5.66,75.0
Tokyo,6.76,84.0,1009.0,3.6,100.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Moscow,0.3,99.0,997.0,1.18,100.0
London,11.42,84.0,988.0,8.75,75.0
New York,6.19,70.0,1007.0,5.14,75.0
Paris,9.72,86.0,1002.0,7.72,100.0
Tokyo,6.76,84.0,1009.0,3.6,100.0
Sydney,19.99,68.0,1020.0,5.66,75.0
Dubai,21.09,78.0,1016.0,2.06,4.0
Moscow,0.3,99.0,997.0,2.64,100.0
New York,6.19,70.0,1007.0,5.14,75.0
London,10.46,86.0,988.0,8.23,75.0
Paris,9.72,86.0,1002.0,7.72,100.0
Sydney,19.99,68.0,1020.0,5.66,75.0
Dubai,21.09,78.0,1016.0,2.06,0.0
Tokyo,6.88,84.0,1008.0,3.6,100.0
Moscow,0.3,99.0,997.0,2.64,100.0
London,10.46,86.0,988.0,8.23,75.0
New York,6.04,70.0,1007.0,5.14,75.0
Paris,9.74,86.0,1002.0,8.75,100.0
Sydney,20.09,67.0,1020.0,5.66,75.0
Tokyo,6.88,84.0,1008.0,3.6,100.0
Dubai,21.09,78.0,1016.0,2.06,0.0
Moscow,0.3,99.0,997.0,2.64,100.0
